0,9,8,2,1
9,0,2,4,7
9,4,0,2,5
0,7,6,5,2
5,0,6,3,2
0,6,2,9,1
0,5,6,4,8
9,3,0,2,6
9,6,1,8,0
0,2,6,5,1
0,2,8,3,9
0,3,9,4,6
0,3,9,7,2
0,3,5,2,8
0,2,7,3,6
0,8,2,9,1
0,6,7,9,2
0,3,7,6,4
0,7,6,9,3
7,0,2,9,6
9,0,8,3,5
0,3,4,5,1
0,3,6,2,7
0,9,3,5,2
5,2,6,9,7
0,5,8,2,6
9,0,2,3,4
0,9,3,2,1
0,9,3,7,1
0,2,3,8,6
2,9,3,5,4
9,6,0,1,3
2,9,0,7,5
0,7,3,9,4
0,7,6,4,3
0,8,9,6,1
0,7,4,9,2
2,6,7,9,5
0,3,7,2,4
9,6,1,7,5
0,3,7,6,2
2,0,9,3,7
3,9,0,5,6
6,0,9,5,3
0,9,3,5,2
0,5,3,2,8
9,0,2,4,5
6,3,0,9,2
0,9,2,8,1
0,9,7,2,5
